,회사명,종목코드,업종
360,현대코퍼레이션홀딩스,227840,음·식료품 및 담배 도매업
361,호텔신라,008770,기타 상품 전문 소매업
362,화승인더스트리,006060,플라스틱제품 제조업
363,화천기공,000850,특수 목적용 기계 제조업
364,환인제약,016580,의약품 제조업
365,효성,004800,기타 금융업
366,효성화학,298000,기초 화학물질 제조업
367,흥아해운,003280,해상 운송업
368,APS홀딩스,054620,기타 금융업
369,CJ ENM,035760,텔레비전 방송업
370,CMG제약,058820,의약품 제조업
371,CS,065770,통신 및 방송 장비 제조업
372,CSA 코스믹,083660,기타 화학제품 제조업
373,DB금융스팩8호,367340,기타 금융업
374,EG,037370,기타 전문 도매업
375,HRS,036640,합성고무 및 플라스틱 물질 제조업
376,NICE평가정보,030190,기타 정보 서비스업
377,PN풍년,024940,기타 금속 가공제품 제조업
378,SCI평가정보,036120,기타 정보 서비스업
379,SM C&C,048550,광고업
380,TS트릴리온,317240,기타 화학제품 제조업
381,UCI,038340,일반 교습 학원
382,감마누,192410,통신 및 방송 장비 제조업
383,강스템바이오텍,217730,기초 의약물질 및 생물학적 제제 제조업
384,게임빌,063080,소프트웨어 개발 및 공급업
385,경남바이오파마,044480,고무제품 제조업
386,경남제약헬스케어,223310,소프트웨어 개발 및 공급업
387,고영,098460,특수 목적용 기계 제조업
388,광림,014200,자동차용 엔진 및 자동차 제조업
389,국영지앤엠,006050,유리 및 유리제품 제조업
390,나노엔텍,039860,의료용 기기 제조업
391,나이벡,138610,의료용품 및 기타 의약 관련제품 제조업
392,남화토건,091590,건물 건설업
393,네오팜,092730,기타 화학제품 제조업
394,넥스턴,089140,유리 및 유리제품 제조업
395,넥스틴,348210,특수 목적용 기계 제조업
396,넵튠,217270,소프트웨어 개발 및 공급업
397,녹원씨엔아이,065560,인쇄 및 인쇄관련 산업
398,누리텔레콤,040160,소프트웨어 개발 및 공급업
399,뉴파워프라즈마,144960,특수 목적용 기계 제조업
400,대성파인텍,104040,자동차 신품 부품 제조업
401,대아티아이,045390,기타 전기장비 제조업
402,대주전자재료,078600,전자부품 제조업
403,대창솔루션,096350,"구조용 금속제품, 탱크 및 증기발생기 제조업"
404,덕산네오룩스,213420,전자부품 제조업
405,데브시스터즈,194480,소프트웨어 개발 및 공급업
406,동국S&C,100130,"구조용 금속제품, 탱크 및 증기발생기 제조업"
407,동아엘텍,088130,특수 목적용 기계 제조업
408,디알텍,214680,의료용 기기 제조업
409,디엠티,134580,통신 및 방송 장비 제조업
410,디오,039840,의료용 기기 제조업
411,딜리,131180,컴퓨터 및 주변장치 제조업
412,럭슬,033600,자동차 신품 부품 제조업
413,레드캡투어,038390,여행사 및 기타 여행보조 서비스업
414,레이언스,228850,의료용 기기 제조업
415,로보로보,215100,기타 전기장비 제조업
416,릭스솔루션,029480,통신 및 방송 장비 제조업
417,매일홀딩스,005990,낙농제품 및 식용빙과류 제조업
418,머큐리,100590,통신 및 방송 장비 제조업
419,메디앙스,014100,기타 화학제품 제조업
420,메타바이오메드,059210,의료용품 및 기타 의약 관련제품 제조업
421,멕아이씨에스,058110,의료용 기기 제조업
422,명성티엔에스,257370,특수 목적용 기계 제조업
423,무림SP,001810,"펄프, 종이 및 판지 제조업"
424,미래에셋대우스팩3호,328380,금융 지원 서비스업
425,미래에셋벤처투자,100790,기타 금융업
426,부스타,008470,"구조용 금속제품, 탱크 및 증기발생기 제조업"
427,비즈니스온,138580,소프트웨어 개발 및 공급업
428,비트컴퓨터,032850,소프트웨어 개발 및 공급업
429,사람인에이치알,143240,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
430,삼륭물산,014970,"골판지, 종이 상자 및 종이용기 제조업"
431,삼양옵틱스,225190,사진장비 및 광학기기 제조업
432,삼일,032280,도로 화물 운송업
433,삼일기업공사,002290,건물 건설업
434,삼지전자,037460,통신 및 방송 장비 제조업
435,삼진,032750,통신 및 방송 장비 제조업
436,삼화네트웍스,046390,"영화, 비디오물, 방송프로그램 제작 및 배급업"
437,상보,027580,플라스틱제품 제조업
438,상신이디피,091580,일차전지 및 축전지 제조업
439,서린바이오,038070,기타 전문 도매업
440,서호전기,065710,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
441,세경하이테크,148150,전자부품 제조업
442,세명전기,017510,기타 금속 가공제품 제조업
443,셀바스AI,108860,소프트웨어 개발 및 공급업
444,손오공,066910,기타 전문 도매업
445,솔루에타,154040,전자부품 제조업
446,수성,084180,일반 목적용 기계 제조업
