,회사명,종목코드,업종
295,기업은행,024110,은행 및 저축기관
296,남성,004270,기타 전문 도매업
297,넷마블,251270,소프트웨어 개발 및 공급업
298,대구백화점,006370,종합 소매업
299,대영포장,014160,"골판지, 종이 상자 및 종이용기 제조업"
300,대우건설,047040,건물 건설업
301,대원제약,003220,의약품 제조업
302,대한방직,001070,직물직조 및 직물제품 제조업
303,대한제당,001790,"곡물가공품, 전분 및 전분제품 제조업"
304,대한해운,005880,해상 운송업
305,덕양산업,024900,자동차 신품 부품 제조업
306,동원F&B,049770,기타 식품 제조업
307,동원금속,018500,자동차 신품 부품 제조업
308,디씨엠,024090,1차 철강 제조업
309,디티알오토모티브,007340,일차전지 및 축전지 제조업
310,롯데손해보험,000400,보험업
311,롯데제과,280360,기타 식품 제조업
312,롯데하이마트,071840,가전제품 및 정보통신장비 소매업
313,미원홀딩스,107590,기타 금융업
314,백산,035150,플라스틱제품 제조업
315,보락,002760,기타 화학제품 제조업
316,사조대림,003960,수산물 가공 및 저장 처리업
317,사조동아원,008040,"곡물가공품, 전분 및 전분제품 제조업"
318,삼양식품,003230,기타 식품 제조업
319,삼진제약,005500,의약품 제조업
320,서원,021050,금속 주조업
321,세방,004360,도로 화물 운송업
322,세아홀딩스,058650,1차 철강 제조업
323,세이브존I&C,067830,종합 소매업
324,솔루스첨단소재,336370,전자부품 제조업
325,신송홀딩스,006880,산업용 농·축산물 및 동·식물 도매업
326,신일전자,002700,기계장비 및 관련 물품 도매업
327,신풍제약,019170,의약품 제조업
328,써니전자,004770,반도체 제조업
329,아이마켓코리아,122900,상품 종합 도매업
330,아이에이치큐,003560,"영화, 비디오물, 방송프로그램 제작 및 배급업"
331,엔씨소프트,036570,소프트웨어 개발 및 공급업
332,영보화학,014440,플라스틱제품 제조업
333,영진약품,003520,의약품 제조업
334,영풍,000670,1차 비철금속 제조업
335,우리금융캐피탈,033660,기타 금융업
336,유니온머티리얼,047400,"내화, 비내화 요업제품 제조업"
337,유유제약,000220,의약품 제조업
338,이마트,139480,종합 소매업
339,이수화학,005950,기초 화학물질 제조업
340,이스타코,015020,부동산 임대 및 공급업
341,인천도시가스,034590,연료용 가스 제조 및 배관공급업
342,일동홀딩스,000230,의약품 제조업
343,일정실업,008500,편조원단 제조업
344,지엠비코리아,013870,자동차 신품 부품 제조업
345,진원생명과학,011000,의약품 제조업
346,컨버즈,109070,"골판지, 종이 상자 및 종이용기 제조업"
347,케이씨텍,281820,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
348,코리아써키트,007810,전자부품 제조업
349,코스모화학,005420,기타 화학제품 제조업
350,코아스,071950,가구 제조업
351,코오롱플라스틱,138490,합성고무 및 플라스틱 물질 제조업
352,쿠쿠홀딩스,192400,기타 금융업
353,큐로,015590,일반 목적용 기계 제조업
354,티비에이치글로벌,084870,봉제의복 제조업
355,포스코케미칼,003670,"내화, 비내화 요업제품 제조업"
356,하이트론씨스템즈,019490,영상 및 음향기기 제조업
357,한국금융지주,071050,기타 금융업
358,한국전자홀딩스,006200,기타 금융업
359,한국주철관공업,000970,1차 철강 제조업
360,한국타이어앤테크놀로지,161390,고무제품 제조업
361,한국토지신탁,034830,신탁업 및 집합투자업
362,한국특수형강,007280,1차 철강 제조업
363,한국프랜지공업,010100,자동차 신품 부품 제조업
364,한온시스템,018880,일반 목적용 기계 제조업
365,한올바이오파마,009420,의약품 제조업
366,한화솔루션,009830,기초 화학물질 제조업
367,해태제과식품,101530,기타 식품 제조업
368,현대에너지솔루션,322000,반도체 제조업
369,현대코퍼레이션홀딩스,227840,음·식료품 및 담배 도매업
370,호텔신라,008770,기타 상품 전문 소매업
371,화승알앤에이,378850,자동차 신품 부품 제조업
372,화승인더스트리,006060,플라스틱제품 제조업
373,화천기공,000850,특수 목적용 기계 제조업
374,환인제약,016580,의약품 제조업
375,효성,004800,기타 금융업
376,효성화학,298000,기초 화학물질 제조업
377,흥아해운,003280,해상 운송업
378,APS홀딩스,054620,기타 금융업
379,CJ ENM,035760,텔레비전 방송업
380,CMG제약,058820,의약품 제조업
381,CS,065770,통신 및 방송 장비 제조업
382,CSA 코스믹,083660,기타 화학제품 제조업
383,DB금융스팩8호,367340,기타 금융업
384,EG,037370,기타 전문 도매업
385,HRS,036640,합성고무 및 플라스틱 물질 제조업
386,NHN벅스,104200,소프트웨어 개발 및 공급업
387,NICE평가정보,030190,기타 정보 서비스업
388,PN풍년,024940,기타 금속 가공제품 제조업
389,SM C&C,048550,광고업
390,TS트릴리온,317240,기타 화학제품 제조업
391,UCI,038340,일반 교습 학원
392,게임빌,063080,소프트웨어 개발 및 공급업
393,경남제약헬스케어,223310,소프트웨어 개발 및 공급업
394,고영,098460,특수 목적용 기계 제조업
395,국영지앤엠,006050,유리 및 유리제품 제조업
396,나노엔텍,039860,의료용 기기 제조업
397,나이벡,138610,의료용품 및 기타 의약 관련제품 제조업
398,남화토건,091590,건물 건설업
399,네오팜,092730,기타 화학제품 제조업
400,넥스턴,089140,유리 및 유리제품 제조업
401,넥스틴,348210,특수 목적용 기계 제조업
402,넵튠,217270,소프트웨어 개발 및 공급업
403,녹원씨엔아이,065560,인쇄 및 인쇄관련 산업
404,누리텔레콤,040160,소프트웨어 개발 및 공급업
405,뉴로스,126870,일반 목적용 기계 제조업
406,뉴파워프라즈마,144960,특수 목적용 기계 제조업
407,대성파인텍,104040,자동차 신품 부품 제조업
408,대아티아이,045390,기타 전기장비 제조업
409,대주전자재료,078600,전자부품 제조업
410,대창솔루션,096350,"구조용 금속제품, 탱크 및 증기발생기 제조업"
411,덕산네오룩스,213420,전자부품 제조업
412,동국S&C,100130,"구조용 금속제품, 탱크 및 증기발생기 제조업"
